                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 2.0412,                 3.2569,                 2.4451,                0.13418,                 0.1553,                0.10515,                0.03594,                 2.1639,                 3.2763,                 2.6586,               0.001184,               0.001184,               0.001184
                     34,                 2.0811,                  3.286,                 2.4489,                0.08226,                0.07925,                0.09127,                0.03031,                 2.2125,                 3.4262,                 2.6519,              0.0011819,              0.0011819,              0.0011819
                     35,                 2.0518,                 3.1557,                 2.4554,                0.65052,                0.12558,                0.10897,                0.03753,                 2.2454,                 3.2235,                 2.7194,              0.0011799,              0.0011799,              0.0011799
                     36,                 2.0405,                 3.1776,                 2.4495,                0.16612,                0.12005,                0.13853,                 0.0509,                 2.1074,                 3.1674,                 2.5951,              0.0011778,              0.0011778,              0.0011778
                     37,                 2.0499,                 3.1948,                 2.4553,                0.10454,                 0.2014,                0.09519,                 0.0331,                  2.176,                 3.5316,                 2.6412,              0.0011757,              0.0011757,              0.0011757
                     38,                 2.0412,                 3.1777,                 2.4365,                0.16664,                0.16686,                0.12691,                0.04971,                 2.1576,                  3.152,                 2.5879,              0.0011737,              0.0011737,              0.0011737
                     39,                 2.0272,                  3.142,                 2.4053,                0.15406,                0.18391,                0.11574,                0.04349,                 2.1685,                   3.17,                 2.6049,              0.0011716,              0.0011716,              0.0011716
                     40,                 2.0243,                 3.1098,                 2.4067,                0.21951,                0.11394,                0.09753,                0.03512,                 2.1475,                  3.597,                 2.6161,              0.0011696,              0.0011696,              0.0011696
                     41,                 2.0072,                 3.1525,                 2.4034,                0.23957,                0.22936,                0.17358,                0.06536,                 2.1456,                 3.1398,                 2.6052,              0.0011675,              0.0011675,              0.0011675
                     42,                  2.029,                 3.0575,                 2.4032,                0.21781,                0.13564,                0.10566,                0.04454,                 2.0563,                 3.2059,                 2.4989,              0.0011654,              0.0011654,              0.0011654
                     43,                 2.0392,                 3.0854,                 2.4071,                0.36096,                0.12111,                0.09781,                0.03693,                 2.1945,                 3.6228,                 2.6464,              0.0011634,              0.0011634,              0.0011634
                     44,                 2.0043,                  3.043,                 2.3704,                0.57537,                0.15312,                0.17737,                 0.0676,                 2.1052,                 3.0004,                  2.532,              0.0011613,              0.0011613,              0.0011613
                     45,                  1.946,                 3.0135,                 2.3629,                0.62701,                0.14103,                0.14838,                0.06148,                 2.0891,                 3.2652,                 2.6001,              0.0011593,              0.0011593,              0.0011593
                     46,                 1.9637,                 2.9846,                 2.3558,                  0.433,                0.11346,                0.08068,                0.03409,                 2.2318,                 3.6347,                 2.7577,              0.0011572,              0.0011572,              0.0011572
                     47,                 2.0116,                  3.048,                 2.3675,                0.36098,                0.26647,                0.21205,                  0.093,                 2.0686,                 3.0385,                 2.5473,              0.0011551,              0.0011551,              0.0011551
                     48,                 1.9571,                 2.9393,                 2.3542,                0.28432,                0.22887,                 0.1822,                0.07054,                 2.0597,                 3.1432,                 2.5196,              0.0011531,              0.0011531,              0.0011531
                     49,                 1.9623,                 2.8297,                 2.3446,                0.13651,                0.28856,                0.17492,                0.07104,                  2.024,                 3.1883,                 2.5411,               0.001151,               0.001151,               0.001151
                     50,                 1.9644,                 2.9344,                 2.3327,                0.62942,                0.14756,                0.14836,                0.05974,                 2.0547,                 3.1151,                 2.5837,              0.0011489,              0.0011489,              0.0011489
                     51,                 1.9584,                 2.9066,                 2.3443,                0.25818,                0.21926,                0.17612,                0.07004,                   2.08,                 3.2995,                 2.5439,              0.0011469,              0.0011469,              0.0011469
                     52,                 1.9299,                 2.8817,                 2.3187,                0.25336,                0.29663,                0.18216,                 0.0782,                 2.0004,                 2.8721,                 2.5313,              0.0011448,              0.0011448,              0.0011448
                     53,                 1.8848,                 2.7702,                 2.3044,                0.43976,                0.26787,                0.21291,                0.08936,                 2.0584,                 2.9182,                 2.5806,              0.0011428,              0.0011428,              0.0011428
                     54,                 1.8798,                 2.7553,                 2.2919,                0.36566,                0.24119,                0.23165,                0.09827,                  2.012,                 2.8859,                 2.5141,              0.0011407,              0.0011407,              0.0011407
                     55,                 1.9165,                  2.731,                 2.2707,                0.34615,                0.26122,                0.19725,                 0.0794,                 2.0323,                  2.834,                 2.5108,              0.0011386,              0.0011386,              0.0011386
                     56,                 1.9086,                 2.7118,                 2.2895,                0.37701,                0.26797,                 0.2197,                0.09024,                 1.9853,                 3.1128,                 2.5021,              0.0011366,              0.0011366,              0.0011366
                     57,                 1.9099,                 2.7297,                 2.2938,                0.16413,                0.17468,                 0.1413,                0.05921,                 2.1543,                  3.189,                 2.6469,              0.0011345,              0.0011345,              0.0011345
                     58,                 1.8689,                 2.6539,                 2.2504,                0.52525,                 0.2011,                0.22619,                0.09501,                 1.9994,                 2.8378,                 2.4766,              0.0011324,              0.0011324,              0.0011324
                     59,                 1.8855,                 2.6799,                 2.2734,                0.23626,                0.30415,                 0.2408,                0.09944,                 2.0405,                 2.7066,                 2.5239,              0.0011304,              0.0011304,              0.0011304
                     60,                 1.8543,                 2.6257,                 2.2593,                0.31551,                 0.2857,                0.23262,                0.10164,                 2.0852,                 2.9257,                 2.5839,              0.0011283,              0.0011283,              0.0011283
                     61,                 1.8984,                 2.7127,                  2.273,                0.35154,                0.22752,                0.15636,                0.06706,                 2.1636,                 3.0643,                 2.6207,              0.0011263,              0.0011263,              0.0011263
                     62,                 1.8525,                 2.7112,                 2.2418,                0.31588,                0.31216,                 0.2065,                0.08393,                 2.0291,                  2.951,                 2.4822,              0.0011242,              0.0011242,              0.0011242
                     63,                 1.8832,                 2.6692,                 2.2587,                0.26428,                0.23048,                0.25076,                0.10328,                 2.0774,                 2.8939,                 2.5831,              0.0011221,              0.0011221,              0.0011221
                     64,                  1.882,                 2.6153,                 2.2416,                 0.4922,                 0.2556,                0.30521,                0.12542,                 1.9914,                 2.8087,                 2.5221,              0.0011201,              0.0011201,              0.0011201
                     65,                 1.8845,                  2.596,                 2.2388,                0.24591,                0.23024,                0.19584,                0.08254,                 2.1609,                 3.0482,                 2.6089,               0.001118,               0.001118,               0.001118
                     66,                 1.8797,                 2.6709,                 2.2288,                0.44941,                0.30041,                0.24543,                0.11257,                 2.0461,                 2.7706,                 2.5349,              0.0011159,              0.0011159,              0.0011159
                     67,                 1.8252,                 2.5686,                  2.198,                0.29611,                0.25979,                0.24235,                0.11363,                 1.9501,                 2.7498,                 2.4577,              0.0011139,              0.0011139,              0.0011139
                     68,                 1.8082,                 2.4926,                 2.1911,                 0.4281,                0.30383,                0.26531,                0.11345,                 2.0408,                 2.7917,                 2.5109,              0.0011118,              0.0011118,              0.0011118
                     69,                 1.8857,                 2.5914,                 2.2333,                0.31465,                0.28402,                 0.1939,                0.08463,                 1.9698,                 3.1921,                 2.4851,              0.0011098,              0.0011098,              0.0011098
                     70,                 1.8336,                 2.6187,                 2.2027,                0.29652,                0.33508,                0.26535,                0.10694,                 2.0507,                 2.7355,                 2.5668,              0.0011077,              0.0011077,              0.0011077
                     71,                 1.8025,                 2.5744,                 2.2064,                0.35253,                 0.2702,                0.27378,                0.11764,                 2.0533,                 2.6747,                 2.4949,              0.0011056,              0.0011056,              0.0011056
                     72,                 1.8463,                  2.444,                 2.1924,                0.48806,                0.28318,                0.25555,                0.11031,                 2.0712,                  3.021,                 2.5295,              0.0011036,              0.0011036,              0.0011036
                     73,                 1.7844,                 2.4687,                 2.1645,                0.45764,                0.30581,                0.27358,                 0.1172,                 2.0051,                 2.7156,                 2.4893,              0.0011015,              0.0011015,              0.0011015
                     74,                 1.8122,                 2.4695,                 2.1749,                0.47431,                 0.3768,                 0.3425,                0.14831,                 1.9622,                 2.4691,                 2.4661,              0.0010994,              0.0010994,              0.0010994
                     75,                 1.7779,                 2.4415,                 2.1413,                0.33702,                0.34654,                0.26875,                0.11688,                 1.9849,                 2.7131,                 2.4671,              0.0010974,              0.0010974,              0.0010974
                     76,                 1.7646,                 2.3733,                 2.1192,                0.76772,                0.18303,                 0.2668,                0.12285,                 2.0063,                 2.8262,                 2.4743,              0.0010953,              0.0010953,              0.0010953
                     77,                  1.831,                 2.4142,                 2.1769,                0.40965,                0.41221,                 0.3533,                 0.1422,                 2.0063,                 2.6792,                  2.508,              0.0010933,              0.0010933,              0.0010933
                     78,                 1.8254,                 2.3841,                 2.1588,                0.37928,                0.36655,                0.30026,                0.12973,                 2.0126,                 2.6092,                 2.4996,              0.0010912,              0.0010912,              0.0010912
                     79,                 1.7586,                  2.328,                 2.1392,                0.22727,                0.26006,                0.22973,                0.09867,                 2.0013,                 2.9747,                 2.4861,              0.0010891,              0.0010891,              0.0010891
